江西电信频道,#genre#
BRTV纪实科教,http://115.153.232.67/PLTV/88888888/224/3221227074/108965751.smil/index.m3u8?fmt=ts2hls
BRTV纪实科教,rtsp://115.153.232.67/PLTV/88888888/224/3221227074/108965751.smil
古装剧场,http://115.153.232.67/PLTV/88888888/224/3221227020/86441115.smil/index.m3u8?fmt=ts2hls
古装剧场,rtsp://115.153.232.67/PLTV/88888888/224/3221227020/86441115.smil
喜剧影院,http://115.153.232.67/PLTV/88888888/224/3221226997/86441126.smil/index.m3u8?fmt=ts2hls
喜剧影院,rtsp://115.153.232.67/PLTV/88888888/224/3221226997/86441126.smil
城市剧场,http://115.153.232.67/PLTV/88888888/224/3221227018/86441003.smil/index.m3u8?fmt=ts2hls
城市剧场,rtsp://115.153.232.67/PLTV/88888888/224/3221227018/86441003.smil
家庭影院,http://115.153.232.67/PLTV/88888888/224/3221227022/86441136.smil/index.m3u8?fmt=ts2hls
家庭影院,rtsp://115.153.232.67/PLTV/88888888/224/3221227022/86441136.smil
四海钓鱼,http://115.153.232.67/PLTV/88888888/224/3221227048/86502173.smil/index.m3u8?fmt=ts2hls
四海钓鱼,rtsp://115.153.232.67/PLTV/88888888/224/3221227048/86502173.smil
快乐垂钓,http://115.153.232.67/PLTV/88888888/224/3221226834/59781974.smil/index.m3u8?fmt=ts2hls
快乐垂钓,rtsp://115.153.232.67/PLTV/88888888/224/3221226834/59781974.smil
文物宝库,http://115.153.232.67/PLTV/88888888/224/3221226808/59781526.smil/index.m3u8?fmt=ts2hls
文物宝库,rtsp://115.153.232.67/PLTV/88888888/224/3221226808/59781526.smil
梨园,http://115.153.232.67/PLTV/88888888/224/3221226822/59781815.smil/index.m3u8?fmt=ts2hls
梨园,rtsp://115.153.232.67/PLTV/88888888/224/3221226822/59781815.smil
武侠剧场,http://115.153.232.67/PLTV/88888888/224/3221227003/86441017.smil/index.m3u8?fmt=ts2hls
武侠剧场,rtsp://115.153.232.67/PLTV/88888888/224/3221227003/86441017.smil
武术世界,http://115.153.232.67/PLTV/88888888/224/3221226824/59781846.smil/index.m3u8?fmt=ts2hls
武术世界,rtsp://115.153.232.67/PLTV/88888888/224/3221226824/59781846.smil
金鹰卡通,http://115.153.232.67/PLTV/88888888/224/3221226972/80382319.smil/index.m3u8?fmt=ts2hls
金鹰卡通,rtsp://115.153.232.67/PLTV/88888888/224/3221226972/80382319.smil
金鹰纪实,http://115.153.232.67/PLTV/88888888/224/3221226823/59781863.smil/index.m3u8?fmt=ts2hls
金鹰纪实,rtsp://115.153.232.67/PLTV/88888888/224/3221226823/59781863.smil
